Date,Amount,Description,Category
2023-12-29,12215.04,Gym Membership,Health
2023-02-18,1907.94,Credit Card EMI,Loans
2023-10-24,698.69,Water Bill,Utilities
2023-12-17,14651.54,Uber Ride,Transport
2023-12-27,43602.72,Monthly Rent Payment,Rent
2023-04-06,3717.94,Train Ticket,Transport
2023-03-23,16504.67,Gaming Subscription,Entertainment
2023-08-28,20782.12,Fuel,Transport
2023-12-01,36706.12,Uber Ride,Transport
2023-07-23,9820.0,Train Ticket,Transport
2023-06-11,29258.56,Monthly Rent Payment,Rent
2023-05-08,46989.53,Hotel Booking,Travel
2023-12-13,9729.54,Uber Ride,Transport
2023-11-10,28914.64,Pharmacy,Health
2023-09-27,5315.09,Electronics,Shopping
2023-02-14,42771.01,Hotel Booking,Travel
2023-03-30,5223.94,Train Ticket,Transport
2023-09-19,10488.66,Fast Food,Food
2023-07-07,34986.88,Mall Purchase,Shopping
2023-11-08,13708.42,Hotel Booking,Travel
2023-06-26,10635.12,Internet Bill,Utilities
2023-05-05,28491.49,Fuel,Transport
2023-07-25,17256.2,Online Shopping,Shopping
2023-05-21,9745.87,Gym Membership,Health
2023-05-13,25722.61,Electronics,Shopping
2023-05-30,27257.28,Movie Tickets,Entertainment
2023-05-28,27327.07,Restaurant,Food
2023-11-30,17510.15,Car Rental,Travel
2023-02-13,40467.07,Train Ticket,Transport
2023-11-07,24877.6,Grocery Store,Groceries
2023-03-03,10427.34,Car Rental,Travel
2023-10-31,36990.58,Coffee Shop,Food
2023-11-06,24809.16,Electricity Bill,Utilities
2023-12-16,27287.49,Mall Purchase,Shopping
2023-03-16,4253.19,Monthly Rent Payment,Rent
2023-09-17,11177.98,Credit Card EMI,Loans
2023-03-23,33238.02,Pharmacy,Health
2023-10-13,42623.68,Restaurant,Food
2023-06-03,49715.18,Fast Food,Food
2023-09-22,27165.4,Hotel Booking,Travel
2023-03-24,24631.64,Electricity Bill,Utilities
2023-03-18,37147.09,Hotel Booking,Travel
2023-07-31,12763.84,Doctor Visit,Health
2023-10-18,33127.92,Coffee Shop,Food
2023-08-09,29374.46,Coffee Shop,Food
2023-08-15,20843.79,Organic Market,Groceries
2023-09-09,23035.93,Movie Tickets,Entertainment
2023-11-19,41984.86,Uber Ride,Transport
2023-04-21,27030.3,Electricity Bill,Utilities
2023-08-02,21199.87,Grocery Store,Groceries
2023-12-07,15556.8,Restaurant,Food
2023-02-12,41576.97,Gym Membership,Health
2023-07-21,16012.27,Pharmacy,Health
2023-12-18,35963.88,Organic Market,Groceries
2023-06-18,19998.99,Flight Ticket,Travel
2023-12-04,44023.9,Online Shopping,Shopping
2023-04-06,3617.76,Restaurant,Food
2023-10-08,32651.05,Monthly Rent Payment,Rent
2023-11-25,46794.11,Doctor Visit,Health
2023-11-06,13231.16,Concert,Entertainment
2023-10-29,34251.32,Electronics,Shopping
2023-04-04,37334.34,Movie Tickets,Entertainment
2023-02-12,11663.54,Monthly Rent Payment,Rent
2023-04-23,37643.52,Gym Membership,Health
2023-05-16,32426.31,Uber Ride,Transport
2023-12-07,4480.38,Gaming Subscription,Entertainment
2023-08-05,41800.99,Flight Ticket,Travel
2023-02-02,48276.67,Electronics,Shopping
2023-03-11,40161.82,Uber Ride,Transport
2023-12-04,2129.15,Water Bill,Utilities
2023-01-04,46713.59,Monthly Rent Payment,Rent
2023-09-28,20824.02,Organic Market,Groceries
2023-03-04,26085.59,Doctor Visit,Health
2023-11-17,48024.89,Flight Ticket,Travel
2023-07-28,32794.72,Pharmacy,Health
2023-07-25,36524.12,Restaurant,Food
2023-08-20,20485.18,Coffee Shop,Food
2023-09-27,5020.26,Supermarket,Groceries
2023-06-07,3015.4,Pharmacy,Health
2023-08-20,38690.92,Restaurant,Food
2023-01-03,3163.9,Online Shopping,Shopping
2023-09-18,47618.6,Mall Purchase,Shopping
2023-01-18,35274.59,Restaurant,Food
2023-01-20,12050.1,Credit Card EMI,Loans
2023-01-25,11803.11,Gym Membership,Health
2023-03-04,14884.08,Credit Card EMI,Loans
2023-08-01,3831.01,Fuel,Transport
2023-04-13,45731.61,Gym Membership,Health
2023-04-19,1364.94,Flight Ticket,Travel
2023-03-21,15675.94,Gaming Subscription,Entertainment
2023-07-25,47647.14,Train Ticket,Transport
2023-07-10,11559.34,Monthly Rent Payment,Rent
2023-02-26,39181.42,Electricity Bill,Utilities
2023-07-17,14071.77,Pharmacy,Health
2023-05-26,17941.86,Flight Ticket,Travel
2023-01-03,21668.97,Monthly Rent Payment,Rent
2023-11-15,42969.43,Coffee Shop,Food
2023-07-21,23730.78,Car Rental,Travel
2023-05-26,1203.15,Fast Food,Food
2023-02-17,11832.67,Monthly Rent Payment,Rent
2023-08-20,19408.73,Monthly Rent Payment,Rent
2023-08-03,15309.79,Concert,Entertainment
2023-11-14,26511.93,Organic Market,Groceries
2023-09-11,45837.16,Fast Food,Food
2023-06-20,17914.62,Car Loan,Loans
2023-08-10,44124.75,Electricity Bill,Utilities
2023-10-24,20184.36,Internet Bill,Utilities
2023-09-04,48839.06,Coffee Shop,Food
2023-06-01,15233.77,Hotel Booking,Travel
2023-02-09,31255.75,Personal Loan EMI,Loans
2023-12-21,12823.93,Car Rental,Travel
2023-12-18,49242.75,Uber Ride,Transport
2023-10-05,21808.15,Online Shopping,Shopping
2023-04-03,28949.86,Monthly Rent Payment,Rent
2023-07-14,42610.9,Train Ticket,Transport
2023-06-08,43462.01,Fast Food,Food
2023-08-01,6882.57,Water Bill,Utilities
2023-10-09,17243.09,Car Loan,Loans
2023-01-23,29554.46,Monthly Rent Payment,Rent
2023-02-21,18310.82,Doctor Visit,Health
2023-12-28,18168.04,Uber Ride,Transport
2023-08-19,33505.54,Monthly Rent Payment,Rent
2023-08-12,28230.68,Car Rental,Travel
2023-02-24,16750.59,Online Shopping,Shopping
2023-08-17,21458.62,Mall Purchase,Shopping
2023-02-16,7597.82,Electronics,Shopping
2023-06-13,31802.92,Pharmacy,Health
